date,added,deleted,commits
2015-03-18,1,1,1
2015-03-19,75,54,4
2015-03-20,1474,653,67
2015-03-23,832,282,32
2015-03-24,313,229,7
2015-03-25,160,71,9
2015-03-26,5,330,3
2015-03-27,920,543,18
2015-03-29,881,3,7
2015-03-30,274,180,9
2015-03-31,537,56,9
2015-04-01,194,9,8
2015-04-02,109,20,4
2015-04-03,589,297,24
2015-04-06,288,0,2
2015-04-07,123,71,19
2015-04-08,842,146,19
2015-04-09,816,840,10
2015-04-10,315,2260,48
2015-04-11,190,173,18
2015-04-12,15,21,9
2015-04-13,436,268,17
2015-04-15,321,12,15
2015-04-16,61,4,1
2015-04-17,336,271,15
2015-04-20,354,112,44
2015-04-21,1300,760,70
2015-04-22,49,45,11
2015-04-23,51,31,2
2015-04-24,14,2,4
2015-04-25,425,98,11
2015-04-26,835,2986,65
2015-04-27,39,37,8
2015-04-28,18,7,2
2015-04-29,12,5,3
2015-04-30,984,791,16
2015-05-02,202,191,11
2015-05-03,811,43,13
2015-05-04,7,1,2
2015-05-05,239,33,11
2015-05-06,673,126,39
2015-05-07,1319,34,31
2015-05-08,408,350,13
2015-05-09,1,0,1
2015-05-11,88,2,5
2015-05-12,24,21,7
2015-05-13,1671,456,21
2015-05-14,63,74,13
2015-05-15,776,158,27
2015-05-18,786,713,23
2015-05-19,67,45,6
2015-05-20,133,62,17
2015-05-21,4023,873,42
2015-05-22,385,72,12
2015-05-23,254,254,9
2015-05-26,161,117,8
2015-05-27,486,267,27
2015-05-28,426,94,18
2015-05-29,95,131,9
2015-06-01,1345,706,68
2015-06-02,1536,847,91
2015-06-03,1315,422,30
2015-06-04,3596,2217,94
2015-06-05,414,17,20
2015-06-06,28,6,3
2015-06-08,805,95,27
2015-06-09,871,691,43
2015-06-10,414,148,31
2015-06-11,267,23,18
2015-06-12,708,146,32
2015-06-13,930,909,39
2015-06-14,2312,257,35
2015-06-15,323,174,25
2015-06-16,269,40,13
2015-06-17,312,133,17
2015-06-18,280,176,9
2015-06-19,469,281,20
2015-06-20,219,71,9
2015-06-21,66,430,7
2015-06-22,496,234,30
2015-06-23,746,312,40
2015-06-24,2818,1305,84
2015-06-25,773,235,41
2015-06-26,1057,129,62
2015-06-27,148,129,7
2015-06-28,551,110,5
2015-06-29,473,6810,169
2015-06-30,755,653,23
2015-07-01,114,37,14
2015-07-02,132,67,7
2015-07-03,360,30,3
2015-07-04,5,0,1
2015-07-05,131,6,7
2015-07-06,1822,484,68
2015-07-07,345,27,21
2015-07-08,491,111,8
2015-07-09,3072,154,191
2015-07-10,382,314,29
2015-07-11,1,1,1
2015-07-13,349,48,18
2015-07-14,501,140,13
2015-07-15,134,15,11
2015-07-16,1267,573,52
2015-07-17,340,5,6
2015-07-18,62,9,2
2015-07-19,87,29,7
2015-07-20,138,22,7
2015-07-21,2325,467,57
2015-07-22,280,89,10
2015-07-23,2037,1295,103
2015-07-24,1070,611,97
2015-07-27,711,508,47
2015-07-28,1045,285,66
2015-07-29,500,665,27
2015-07-30,1887,4066,116
2015-07-31,215,241,12
2015-08-01,184,34,9
2015-08-03,175,71,13
2015-08-04,386,286,24
2015-08-05,8510,1717,98
2015-08-06,648,177,18
2015-08-07,1507,526,31
2015-08-08,324,92,18
2015-08-09,725,810,106
2015-08-10,1379,287,52
2015-08-11,1009,126,34
2015-08-12,472,226,15
2015-08-13,2022,671,68
2015-08-14,891,294,52
2015-08-16,552,8,7
2015-08-17,294,150,24
2015-08-18,193,69,9
2015-08-19,4,3,2
2015-08-20,502,274,10
2015-08-21,12,11,1
2015-08-24,875,83,26
2015-08-25,1100,262,50
2015-08-26,69,6,4
2015-08-27,1341,398,74
2015-08-28,22,6,4
2015-08-29,885,116,18
2015-08-30,3296,122,85
2015-08-31,587,706,21
2015-09-01,343,269,23
2015-09-02,180,76,7
2015-09-03,72,58,12
2015-09-04,140,337,14
2015-09-05,169,28,1
2015-09-07,273,254,17
2015-09-08,244,186,19
2015-09-09,2161,93,35
2015-09-10,704,587,52
2015-09-11,570,1002,55
2015-09-12,111,47,4
2015-09-13,22,0,1
2015-09-14,483,336,24
2015-09-15,1593,1023,65
2015-09-16,2125,956,103
2015-09-17,376,278,30
2015-09-18,1149,329,72
2015-09-19,682,112,15
2015-09-20,1193,827,22
2015-09-21,1885,463,77
2015-09-22,372,217,30
2015-09-23,1604,339,57
2015-09-24,993,602,47
2015-09-25,312,249,16
2015-09-27,1177,439,48
2015-09-28,224,108,11
2015-09-29,500,1751,33
2015-09-30,2,0,1
2015-10-02,79,5,3
2015-10-03,237,68,14
2015-10-05,407,16,10
2015-10-06,132,5,5
2015-10-07,65,19,3
2015-10-08,190,8,11
2015-10-09,12544,257,140
2015-10-10,12,12,6
2015-10-12,245,94,13
2015-10-13,348,96,28
2015-10-14,548,241,60
2015-10-15,240,145,18
2015-10-16,582,70,24
2015-10-17,559,650,40
2015-10-18,404,108,25
2015-10-19,251,157,13
2015-10-20,250,121,34
2015-10-21,426,183,12
2015-10-22,200,107,4
2015-10-23,20,5,3
2015-10-24,48,1,4
2015-10-25,283,50,9
2015-10-26,855,635,104
2015-10-27,540,78,12
2015-10-28,368,180,19
2015-10-29,20,8,5
2015-10-30,99,95,6
2015-10-31,1,1,1
2015-11-02,345,66,14
2015-11-03,876,129,29
2015-11-04,33,21,10
2015-11-05,429,419,20
2015-11-06,758,334,48
2015-11-07,1644,564,61
2015-11-08,271,74,14
2015-11-09,3308,2550,80
2015-11-10,194,241,49
2015-11-11,355,274,29
2015-11-12,1154,1003,21
2015-11-13,342,69,37
2015-11-16,1041,68,41
2015-11-17,404,40,13
2015-11-18,788,737,27
2015-11-19,193,101,12
2015-11-20,639,114,19
2015-11-21,105,8,4
2015-11-22,522,27,15
2015-11-23,12484,13402,869
2015-11-24,354,434,34
2015-11-25,1134,212,32
2015-11-26,1245,66,19
2015-11-27,144,4,3
2015-11-29,6,6,1
2015-11-30,24,5,7
2015-12-01,298,62,28
2015-12-02,1306,161,42
2015-12-03,551,312,30
2015-12-04,1227,153,32
2015-12-07,11,7,4
2015-12-08,1974,158,44
2015-12-09,506,63,21
2015-12-10,510,261,30
2015-12-11,717,111,24
2015-12-12,477,332,17
2015-12-13,0,4,2
2015-12-14,1007,370,57
2015-12-15,399,302,17
2015-12-16,747,3,15
2015-12-17,961,376,46
2015-12-18,3024,618,100
2015-12-20,214,38,4
2015-12-21,374,319,19
2015-12-22,181,138,15
2015-12-23,6,4,3
2015-12-24,246,3,10
2015-12-25,46,130,7
2015-12-26,64,51,8
2015-12-28,238,255,13
2015-12-29,1479,346,32
2015-12-30,139,19,5
2015-12-31,723,35,10
2016-01-01,479,439,17
2016-01-02,66,55,5
2016-01-03,246,83,12
2016-01-04,994,502,47
2016-01-05,1352,317,40
2016-01-06,510,325,32
2016-01-07,207,67,25
2016-01-08,721,181,34
2016-01-09,190,30,12
2016-01-10,16,0,1
2016-01-11,718,102,39
2016-01-12,111,153,28
2016-01-13,450,213,24
2016-01-14,1323,663,87
2016-01-15,892,766,71
2016-01-16,1465,213,44
2016-01-17,211,119,8
2016-01-18,814,81,21
2016-01-19,561,231,22
2016-01-20,1784,790,96
2016-01-21,371,46,18
2016-01-22,263,111,20
2016-01-23,313,77,36
2016-01-24,1376,97,18
2016-01-25,248,123,37
2016-01-26,1811,247,45
2016-01-27,880,175,35
2016-01-28,822,212,49
2016-01-29,2523,1848,32
2016-01-30,157,63,9
2016-01-31,53,28,8
2016-02-01,29,19,4
2016-02-02,83,39,15
2016-02-03,691,284,114
2016-02-04,2680,442,120
2016-02-05,940,212,47
2016-02-07,278,6,4
2016-02-08,1086,485,96
2016-02-09,907,296,38
2016-02-10,178,30,19
2016-02-11,1238,233,34
2016-02-12,496,401,33
2016-02-13,0,2,1
2016-02-15,190,2,10
2016-02-16,1118,153,34
2016-02-17,484,57,14
2016-02-18,342,27,14
2016-02-19,487,602,22
2016-02-20,659,196,30
2016-02-21,20,6,3
2016-02-22,478,1317,34
2016-02-23,642,1888,17
2016-02-24,408,162,34
2016-02-25,266,135,9
2016-02-26,1114,388,59
2016-02-27,271,383,84
2016-02-28,1147,366,30
2016-02-29,1063,570,36
2016-03-01,2130,932,153
2016-03-02,803,204,29
2016-03-03,1078,489,35
2016-03-04,422,142,11
2016-03-07,253,138,19
2016-03-08,951,322,38
2016-03-10,1275,738,63
2016-03-11,2849,2183,115
2016-03-12,579,194,15
2016-03-13,111,84,16
2016-03-14,1262,112,29
2016-03-15,1639,816,29
2016-03-16,3812,3894,66
2016-03-17,1350,550,21
2016-03-18,312,114,40
2016-03-19,126,0,2
2016-03-20,173,9,2
2016-03-21,189,12,12
