entity,n-revs
src/zookeeper/zookeeper.cpp,29
src/webui/master/static/slave.html,29
src/tests/Makefile.in,28
ec2/deploy.lucid64/root/mesos-ec2/setup,28
3rdparty/libprocess/3rdparty/CMakeLists.txt,28
src/tests/persistent_volume_tests.cpp,28
src/log/log.cpp,28
src/tests/module_tests.cpp,28
src/log/network.hpp,28
src/tests/reservation_endpoints_tests.cpp,27
3rdparty/libprocess/3rdparty/stout/include/stout/flags/flags.hpp,27
src/tests/exception_tests.cpp,27
src/examples/long_lived_framework.cpp,27
include/mesos/scheduler/scheduler.proto,27
src/webui/master/static/controllers.js,27
third_party/libprocess/include/stout/os.hpp,27
src/slave/containerizer/isolators/cgroups/perf_event.cpp,26
src/master/allocator/mesos/allocator.hpp,26
src/webui/master/static/frameworks.html,26
src/tests/containerizer/port_mapping_tests.cpp,26
src/zookeeper/group.hpp,26
src/master/constants.cpp,26
src/java/jni/org_apache_mesos_MesosSchedulerDriver.cpp,26
src/slave/containerizer/fetcher.cpp,26
src/tests/fetcher_cache_tests.cpp,26
src/linux/perf.cpp,26
src/tests/sorter_tests.cpp,26
src/master/detector.cpp,25
src/slave_main.cpp,25
3rdparty/libprocess/src/tests/metrics_tests.cpp,25
third_party/libprocess/src/tests.cpp,25
third_party/libprocess/include/process/future.hpp,25
src/common/values.cpp,25
src/tests/reconciliation_tests.cpp,25
src/slave.hpp,25
src/slave/containerizer/mesos/provisioner/docker/registry_client.cpp,25
src/common/utils.hpp,25
src/common/http.hpp,25
src/launcher/launcher.hpp,24
src/hook/manager.cpp,24
3rdparty/libprocess/3rdparty/stout/include/stout/json.hpp,24
3rdparty/libprocess/src/tests/subprocess_tests.cpp,24
include/mesos/type_utils.hpp,24
src/launcher/main.cpp,24
src/tests/files_tests.cpp,24
src/slave/containerizer/isolators/cgroups/mem.hpp,24
src/local/main.cpp,24
src/python/native/mesos_scheduler_driver_impl.cpp,23
frameworks/torque/torquesched.py,23
.gitignore,23
src/java/jni/convert.cpp,23
