entity,added,deleted,commits
third_party/libprocess/third_party/gmock-1.6.0/include/gmock/gmock-matchers.h,3066,3066,2
third_party/gmock-1.6.0/include/gmock/gmock-matchers.h,3066,3066,2
third_party/libprocess/third_party/glog-0.3.1/config.guess,3032,3032,4
configure.ac,3026,1366,189
third_party/libprocess/third_party/glog-0.3.1/src/windows/glog/logging.h,3020,3020,4
third_party/libprocess/third_party/glog-0.3.1/src/glog/logging.h.in,3012,3012,4
src/tests/isolator_tests.cpp,2945,1629,52
src/third_party/zookeeper-3.2.2/src/c/src/zookeeper.c,2921,0,1
third_party/libprocess/third_party/gmock-1.5.0/include/gmock/gmock-matchers.h,2920,2920,2
third_party/gmock-1.5.0/include/gmock/gmock-matchers.h,2920,2920,2
src/third_party/zookeeper-3.2.2/lib/jdiff/zookeeper_3.2.2.xml,2908,0,1
src/third_party/zookeeper-3.2.2/src/java/lib/jdiff/zookeeper_3.2.2.xml,2908,0,1
third_party/libprocess/third_party/glog-0.3.1/Makefile.in,2900,2900,4
third_party/protobuf-2.4.1/src/Makefile.in,2869,2869,2
third_party/protobuf-2.4.1/src/google/protobuf/test_util.cc,2854,2854,2
third_party/protobuf-2.3.0/src/google/protobuf/test_util.cc,2854,2854,2
frameworks/hadoop-0.20.0/src/mapred/org/apache/hadoop/mapred/JobInProgress.java,2837,0,1
third_party/protobuf-2.3.0/src/Makefile.in,2810,2810,4
src/third_party/zookeeper-3.3.0/docs/releasenotes.pdf,2795,2795,2
src/third_party/{zookeeper-3.2.2 => zookeeper-3.3.0}/src/c/configure,2772,4392,1
src/third_party/libprocess/third_party/boost-1.37.0/boost/mpl/vector/aux_/preprocessed/no_ctps/vector50.hpp,2764,0,1
src/third_party/boost-1.37.0/boost/mpl/vector/aux_/preprocessed/no_ctps/vector50.hpp,2764,0,1
src/third_party/libprocess/third_party/boost-1.37.0/boost/detail/is_mem_fun_pointer_tester.hpp,2759,0,1
src/third_party/libprocess/third_party/boost-1.37.0/boost/type_traits/detail/is_mem_fun_pointer_tester.hpp,2759,0,1
src/third_party/boost-1.37.0/boost/type_traits/detail/is_mem_fun_pointer_tester.hpp,2759,0,1
src/third_party/boost-1.37.0/boost/detail/is_mem_fun_pointer_tester.hpp,2759,0,1
src/third_party/zookeeper-3.2.2/src/java/lib/jdiff/zookeeper_3.1.1.xml,2717,0,1
src/third_party/zookeeper-3.2.2/lib/jdiff/zookeeper_3.1.1.xml,2717,0,1
3rdparty/libprocess/3rdparty/stout/tests/protobuf_tests.pb.cc,2707,191,7
src/tests/resources_tests.cpp,2669,605,73
src/third_party/zookeeper-3.2.2/src/contrib/zkperl/ZooKeeper.xs,2669,0,1
src/third_party/zookeeper-3.2.2/contrib/zkperl/ZooKeeper.xs,2669,0,1
frameworks/hadoop-0.20.0/src/mapred/org/apache/hadoop/mapred/ReduceTask.java,2661,0,1
third_party/sqlite-3.6.23.1/shell.c,2635,2635,2
src/tests/scheduler_tests.cpp,2616,1130,50
src/tests/mesos.hpp,2604,1297,157
third_party/libprocess/include/process/dispatch.hpp,2575,2097,7
third_party/libprocess/third_party/gmock-1.6.0/test/gmock-spec-builders_test.cc,2484,2484,2
third_party/gmock-1.6.0/test/gmock-spec-builders_test.cc,2484,2484,2
third_party/libprocess/configure,2477,9097,6
frameworks/hadoop-0.20.0/src/docs/cn/src/documentation/content/xdocs/mapred_tutorial.xml,2465,0,1
third_party/libprocess/third_party/glog-0.3.1/src/demangle.cc,2462,2462,4
include/mesos/mesos.proto,2460,801,189
src/third_party/boost-1.37.0/boost/mpl/vector/aux_/preprocessed/no_ctps/vector40.hpp,2444,0,1
