entity,fractal-value,total-revs
docs/reconciliation.md,0.8200000000000001,7
include/mesos/values.hpp,0.8200000000000001,7
3rdparty/libprocess/3rdparty/stout/tests/protobuf_tests.pb.h,0.8200000000000001,7
3rdparty/libprocess/src/tests/reap_tests.cpp,0.8200000000000001,7
3rdparty/versions.am,0.8200000000000001,7
src/log/tool/read.cpp,0.8200000000000001,7
src/webui/master/static/js/services.js,0.8200000000000001,7
3rdparty/libprocess/3rdparty/stout/tests/protobuf_tests.pb.cc,0.8200000000000001,7
src/zookeeper/watcher.hpp,0.8200000000000001,7
src/slave/containerizer/mesos/provisioner/docker/local_puller.hpp,0.8200000000000001,7
docs/allocation-module.md,0.8200000000000001,7
3rdparty/libprocess/3rdparty/stout/tests/protobuf_tests.proto,0.8200000000000001,7
src/tests/fault_tolerance_tests.cpp,0.81,140
src/slave/containerizer/docker.cpp,0.81,101
src/linux/cgroups.cpp,0.81,80
3rdparty/libprocess/3rdparty/stout/include/Makefile.am,0.81,71
src/slave/main.cpp,0.81,64
src/tests/port_mapping_tests.cpp,0.81,41
src/tests/status_update_manager_tests.cpp,0.81,41
3rdparty/libprocess/include/process/socket.hpp,0.81,35
src/slave/containerizer/mesos/launch.cpp,0.81,20
src/tests/executor_http_api_tests.cpp,0.81,16
3rdparty/libprocess/include/process/metrics/timer.hpp,0.81,14
src/master/contender.hpp,0.81,12
src/master/registrar.hpp,0.81,11
3rdparty/libprocess/src/socket.cpp,0.81,11
3rdparty/Makefile.am,0.81,9
src/log/tool/benchmark.cpp,0.81,9
3rdparty/libprocess/include/process/metrics/metric.hpp,0.81,9
src/tests/attributes_tests.cpp,0.81,9
src/zookeeper/contender.cpp,0.81,9
src/slave/containerizer/mesos/launch.hpp,0.81,9
src/tests/zookeeper.hpp,0.81,9
3rdparty/libprocess/3rdparty/stout/include/stout/os/posix/fork.hpp,0.81,9
src/tests/test_framework_test.sh,0.81,9
src/sched/flags.hpp,0.81,8
3rdparty/libprocess/include/process/dispatch.hpp,0.81,8
3rdparty/libprocess/include/process/limiter.hpp,0.81,8
src/scheduler/scheduler.cpp,0.8,75
src/slave/containerizer/isolators/network/port_mapping.cpp,0.8,75
3rdparty/libprocess/include/process/future.hpp,0.8,60
src/tests/scheduler_tests.cpp,0.8,50
src/linux/perf.cpp,0.8,26
